combo,start,end,n_obs,sharpe,cagr,maxdd,calmar,ulcer,z_sharpe,z_cagr,z_maxdd,blended_score,combo_rank,avg_corr
"IGM,SMH,SOXX,SPMO",2015-12-02,2026-06-23,2653,1.317165051364606,0.28131476098931296,-0.23841367552550113,1.1799438952872612,8.083260236839898,1.6576620030502254,2.712555957203477,-0.8073689482937949,1.4811239990273968,90,0.8546113307315157
"IGM,IUSG,SMH,XMMO",2015-12-02,2026-06-23,2653,1.3399149593112276,0.24292050631406292,-0.21346723684891,1.1379755970983016,6.880387656760447,2.1812019071690605,1.2537355097529845,0.06167461042487275,1.4790565285954,91,0.8520992581209758
"DGRW,SMH,SPMO,XMMO",2015-12-02,2026-06-23,2653,1.3510716739551798,0.2125288024440568,-0.1837665593270023,1.1565151092907697,5.8479745295344125,2.437949553299353,0.09897838753684797,1.0963386289893549,1.467936018708602,92,0.7868080510901394
"IWF,SMH,SPMO,VGT",2015-12-02,2026-06-23,2653,1.335304935749791,0.2445152700969444,-0.21125157622573792,1.1574600978866154,6.432980153262456,2.075112190278646,1.3143298365604459,0.1388602006342324,1.4596270862343033,93,0.8652942503635094
"SMH,SPMO,VGT,VUG",2015-12-02,2026-06-23,2653,1.3359968850244135,0.24521917698958373,-0.21356253979543852,1.1482312264335666,6.486081789875317,2.0910359055631615,1.3410753425422441,0.05835460098860672,1.4595114757419754,94,0.8636129076220879
"SMH,SPMO,SPYG,XMMO",2015-12-02,2026-06-23,2653,1.3488986172000914,0.2272132192621985,-0.2061258081559721,1.102303594561385,6.281699933350163,2.387941354238807,0.65692456188986,0.31742339285035337,1.454532724256432,95,0.8131924615422453
"IWY,SMH,SPMO,VUG",2015-12-02,2026-06-23,2653,1.33972532893084,0.2328542856985163,-0.2029262791108001,1.147482163073493,6.177649111610174,2.1768379742951733,0.8712613977610848,0.42888339496476957,1.4355740854688661,96,0.8585856966148849
"SMH,SPMO,SPYG,VUG",2015-12-02,2026-06-23,2653,1.3402479153664737,0.22992656663876776,-0.19911942544291575,1.1547169048289763,6.1746871728185955,2.1888641703152816,0.7600203679539635,0.5615003869911244,1.4347382729420546,97,0.8636563484352533
"IWF,IWY,SMH,SPMO",2015-12-02,2026-06-23,2653,1.338925410274215,0.23215093486805527,-0.20059081260347061,1.1573358313621918,6.1152957648544755,2.1584295773128677,0.8445370198069724,0.5102425881991292,1.4346244122383514,98,0.8606305879268928
"IWF,SMH,SPMO,SPYG",2015-12-02,2026-06-23,2653,1.3394997836232505,0.2292255363106337,-0.19676685966872776,1.1649600786258043,6.110735492907446,2.1716475370860695,0.7333841593437167,0.6434552567432763,1.434530067694805,99,0.8655006060014084
"SMH,SPMO,VGT,VONG",2015-12-02,2026-06-23,2653,1.333425090322631,0.2442251442108394,-0.2114274298840795,1.1551251620697565,6.525087271855535,2.0318516154665294,1.3033062712232732,0.13273409618140453,1.4334645083365276,100,0.8644669820770646
